// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
// VersionType impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ //      Note : simply returns null for seed() and next() as the only known //      application of binary types for versioning is for use with the //      TIMESTAMP datatype supported by Sybase and SQL Server, which //      are completely db-generated values...
// Initialize dirty flags for arrays + collections with composite elements // and reset reached, doupdate, etc.
// no existing row - do an insert
// do nothing for persistent instances
//for backward compatibility, allow a set with no not-null  //element columns, using all columns in the row locater SQL //TODO: create an implicit not null constraint on all cols?
// the Interceptor handled the dirty checking
// try the parent FromClause...
// our parent is another dot node, meaning we are being further dereferenced. // thus we need to generate a join unless the parent refers to the associated // entity's PK (because 'our' table would know the FK).
// Make sure the owner alias is known...
// not necessarily a *unique* property reference
// xmlforest requires a new kind of function constructor
// DYNAMIC INSERT
// Set the unresolved path in this node and the parent. // Set the text for the parent.
//not null ... (start with 1) is implicit
//perhaps not really necessary...
// If this is an implied join in a FROM clause, then use ANSI-style joining, and set the // flag on the FromElement that indicates that it was implied in the FROM clause itself.
// Otherwise, the destination node was implied by the FROM clause and the FROM clause processor // will automatically add it in the right place.
// we already have a callback registered; either a local // (org.hibernate.Transaction) transaction has accepted // callback responsibilities, or we have previously // registered a transaction synch.
//unquotedIdentifierColumnName = null;
// TODO : YUCK!!!  fix after HHH-1907 is complete
// see explanation above...
//TODO: move these to a new JoinableType abstract class, //extended by EntityType and PersistentCollectionType:
// igndore it...
// we are now at a new tree level
// -- Package local methods for the QueryLoader delegate --
"/**	 * Translates an AST join type (i.e., the token type) into a JoinFragment.XXX join type.	 *	 * @param astJoinType The AST join type (from HqlSqlTokenTypes or SqlTokenTypes)	 * @return a JoinFragment.XXX join type.	 * @see JoinFragment	 * @see SqlTokenTypes	 */"
//important: reuse the same event instances for performance!
//for non null args, check for components and elements containing components
// do nothing...
//no pointbase TINYINT
// register in exception table
// release the jdk internal caches everytime to ensure this // plays nicely with destroyable class-loaders
"//			collectionOwnerAliases.add( ownerAlias );"
//insert/update/delete SQL
//+ "_" + referencedColumnName not used for backward compatibility
//checking for named queries
// astore 5 // store exception
// the list of entity names that indicate the batch number
// more specifically : "datetime [op] ?" //      1) if the operator is MINUS, we really cannot determine //          the expected type as either another datetime or //          numeric would be valid //      2) if the operator is PLUS, the param needs to be of //          some numeric type
// identifier-commalist
//use suffix for the entity columns
//deliberately ignore return value!
// ignore (probably H2 not in the classpath)
// the CascadingAction contract ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//cant instantiate
// should be safe to only ever expect EntityPersister references here
//optimization
//needed to satisfy KeyValue
"//		TypeFactory.deepCopy( currentState, propTypes, persister.getPropertyUpdateability(), deletedState, session );"
//reset the version
// aload_2 // load the args
// unable to locate it using this name
// refresh doesn't cascade to uninitialized collections
//do not add unique constraint on DB not supporting unique and nullable columns
//st.setDate( index,  new Date( cal.getTimeInMillis() ), cal ); //JDK 1.5 only
//assembled state gets put in a new array (we read from cache by value!)
// in an effort to avoid concurrent-modification-exceptions (from // potential recursive calls back through here as a result of the // eventual call to PersistentCollection#endRead), we scan the // internal loadingCollections map for matches and store those matches // in a temp collection.  the temp collection is then used to "drive" // the #endRead processing.
// now rebuild the insertions list. There is a batch for each entry in the name list.
// We must return a valid RDMS/RSA command from this method to // prevent RDMS/RSA from issuing *ERROR 400
//copyValues works by reflection, so explicitly mark the entity instance dirty
//foo.bars.size (also handles deprecated stuff like foo.bars.maxelement for backwardness)
//TODO: is this a bit ugly?
// now look up the object we are really interested in! // (this lets us correctly handle proxies and multi-row // or multi-column queries)
// aload_0
// if the from-clauses are the same, we can be a little more aggressive in terms of what we reuse
//will result in a SQL UPDATE:
//should never happen, i think
// for objects that came in via update()
// new collections that get found + wrapped // during flush shouldn't be ignored
//types
//because numeric can be anything
// Does the LIMIT clause come at the start of the SELECT statement, rather than at the end?
// or should it actually throw an exception?
// else if it's elements changed
// make a new one
// TODO : still need to make CollectionPersisters EntityMode-aware
//TODO: if we are using identity columns, fetch the identifier
// we only release the connection
// TODO : remove these last two as batcher is no longer managing connections
//TODO: would be nice to handle proxy classes elegantly!
"//	private boolean showSql; //	private boolean formatSql;"
// areturn // return the value of the field
// inheritance cycle detection (paranoid check)
//beforeClassTokens.add("new"); DEFINITELY DON'T HAVE THIS!!
// make the session available to the session factory's "current context"
// Create the SessionFactory from hibernate.cfg.xml
// from Map
//after reset!
// not really a many-to-one association *necessarily*
//cannot be instantiated
//Icky workaround for MySQL bug:
// NOTE VERY HACKISH WORKAROUND!! // TODO: Fix this so it will work for non-POJO entity mode
// EARLY EXIT!!!!
//TODO: arithmetic expressions, multiple new Foo(...)
//ie. no select clause
// inserts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//	void setComponentTuplizerFactory(ComponentTuplizerFactory componentTuplizerFactory) { //		this.componentTuplizerFactory = componentTuplizerFactory; //	}"
//all joins join to the pk of the driving table
// semantic action handling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// conceivable that the dialect ctor could throw HibernateExceptions, so don't re-wrap
//no pointbase BIT
// check a set of parent/child nodes in the from-clause tree // to determine if a comma is required between them
//following doesn't handle (null, not null) but unnecessary //since this would mean all rows
// Here we don't want to suspend the tx. If we do: // 1) We might be caching query results that reflect uncommitted // changes. No tx == no WL on cache node, so other threads // can prematurely see those query results // 2) No tx == immediate replication. More overhead, plus we // spread issue #1 above around the cluster
//processCollectionProperty(token, q.getCollectionPersister(collectionRole), collectionName);
//we ran out of keys to try
// For Timestamps, we default to a separate config
// not known!
//ie. the subquery! yuck!
// else no collection element, but also no owner
// new // BulkAccessorException
// This will add the new from element to the origin.
// should *not* need to grow beyond the size of the total number of columns in the rs
// Associate the table alias with the element.
// wrap the session in the transaction-protection proxy
// note: performExecutions() clears all collectionXxxxtion  // collections (the collection actions) in the session
// semantic action processing ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// CHECK
//give the Interceptor a chance to modify property values
// aliases for composite-id's
//use the current version
// to support dialects that have their own identity data type
// create a new batch for this type. The batch number is the number of current batches.
// JoinProcessor needs to know if the where clause fragment came from a dynamic filter or not so it // can put the where clause fragment in the right place in the SQL AST.   'hasFilterCondition' keeps track // of that fact.
//join = q.createJoinFragment(useThetaStyleJoin);
// Impl note: takes advantage of the fact that an escpaed single quote // embedded within a quote-block can really be handled as two seperate // quote-blocks for the purposes of this method...
// table-specific parameters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If the constant is an IDENT, figure out what it means...
// invokeinterface // invoke Callback.read*() // each type
// add the main query
//include the discriminator and class-level where, but not filters
// peek ahead
"// merges don't cascade to uninitialized collections //			//TODO: perhaps this does need to cascade after all...."
// Whether this dialect has an Identity clause added to the data type or a completely seperate identity // data type
// Attach any mapping-defined "ORDER BY" fragments
// use setParameter for null values
// we need to obtain the lock before any actions are // executed, since this may be an inverse="true" // bidirectional association and it is one of the // earlier entity actions which actually updates // the database (this action is resposible for // second-level cache invalidation only)
//return the proxied object
// We need our tm, so get it now and avoid doing other work // if there is a problem
// ResultSet impl ("overridden") ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//the first id found after the given id
// astore_3 // store bean
// Criteria impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// todo : need map? the prob is a proper key, right?
//TODO: inefficient
// the name of an entity class
// Convert the string value into the proper type.
// we have not yet hit the last result...
//figure out which formulas are needed
// potentialTrimCharacterArgIndex = 1 assumes that a // trim-specification has been specified.  we handle the // exception to that explicitly
// SORT
// checkcast (case of reference type)
// otherwise, a trim-specification and/or a trim-character // have been specified;  we need to decide which options // are present and "do the right thing" // should leading trim-characters be trimmed? // should trailing trim-characters be trimmed? // the trim-character (what is to be trimmed off?) // the trim-source (from where should it be trimmed?)
// Need to parse off the column qualifiers; this is assuming (which is true as of now) // that this is only used from update and delete HQL statement parsing
//ELEMENT
// Resolve everything up to this dot, but don't resolve the placeholders yet.
//we need to upgrade the lock mode to the mode requested
//handle a property-ref
// if there is no order by, make one
// Write the values of fields onto the prepared statement - we MUST use the state at the time the // insert was issued (cos of foreign key constraints). Not necessarily the object's current state
//swallow, the transaction was finished
//TODO: code duplication with SingleTableEntityPersister
"// if we get here, it is possible that we have a proxy 'in the way' of the merge map resolution... // 		NOTE: decided to put this here rather than in the above loop as I was nervous about the performance //		of the loop-in-loop especially considering this is far more likely the 'edge case'"
// don't allow comments on these insert statements as comments totally // blow up the Oracle getGeneratedKeys "support" :(
// if // if // Otherwise, handle the error normally.
// TODO : this is a bit dodgy, come up with a better way to check this (plus see above comment)
// not for internal use:
// Fetch Reader content up to the end - and put characters in a StringBuffer
// Needed to bump this up to DotNode, because that is the only thing which currently // knows about the property-ref path in the correct format; it is either this, or // recurse over the DotNodes constructing the property path just like DotNode does // internally
//must add to JNDI _after_ adding to HashMaps, because some JNDI servers use serialization
// the referenced node text is the special 'id'
// do nothing until we hit the rsult set containing the generated id
// Identity map of CollectionEntry instances, by the collection wrapper
// work around the "feature" where tree cache is validating the // inserted node during the next transaction.  no idea...
//we can reuse it for each row
// native identifier generatiion ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//the entity is not associated with the session, so //try interceptor and unsaved-value
//now done in EntityIdentityInsertAction //persister.setIdentifier( entity, id, source.getEntityMode() );
// collections ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// key is an entity involved with the operation performed by the listener; // value can be either a copy of the entity or the entity itself
//NOTE: this is not updated when properties are fetched lazily!
// property name is a sub-path of a component...
//there _was_ a select clause
// If close() is called, guarantee unbind()
// If this is an implied join in a from element, then use the impled join type which is part of the // tree parser's state (set by the gramamar actions).
// ALL OTHER
// or bidirectional safety method, setting both sides: aPerson.addToEvent(anEvent);
//actually, this last test is probably unnecessary, since  //beforeCompletion() doesn't get called during rollback
//Must be done here because of side-effect! yuck...
// finally use the sqltype if == on Hibernate types did not find a match.
// TABLE
// The CollectionEntry.isReached() stuff is just to detect any silly users   // who set up circular or shared references between/to collections.
// PHASE 1 : Parse the HQL into an AST.
// not array
// it is or was referenced _somewhere_
//this is a query and we are loading multiple instances of the same collection role
// The 'from element' that represents the elements of the collection.
// sybase driver (jConnect) throwing NPE here in certain // cases, but we'll just handle the general "unexpected" case
// ignore this error for now
// ROW ID
// an uninitialized proxy, noop, don't even need to // return an id, since it is never a save()
// Sometimes use the element table alias, sometimes use the... umm... collection table alias (many to many)
// A session is considered to contain an entity only if the entity has // an entry in the session's persistence context and the entry reports // that the entity has not been removed
"// Entity load contexts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // 	* currently, not yet used..."
//Cope with special cases of AND, NOT, )
// This next bit is to allow for both unsaved-value="negative" // and for "older" behavior where version number did not get // seeded if it was already set in the object // TODO: shift it into unsaved-value strategy
// detached collection wrappers that get found + reattached // during flush shouldn't be ignored
// COMPOSITE-ID
//log.debug( "calling onLoad()" );
// astore 4 // store the raw bean
//no big deal
// legacy behavior (with no abstract attribute specified)
// the difficulty here is exactly what do we update in order to // force the version to be incremented in the db...
//Cope with special cases of AND, NOT, ()
// Constructors are always considered scalar results.
//sort the updates by pk
//Force a substitution!
// If this is 'elements' then create a new FROM element.
//don't bother trying to update, we know there is no row there yet
// Set of EntityKeys of deleted objects
/*&& !('_'==character)*/
//I suppose?
//need to hydrate it.
//may be final
//we must clone embedded composite identifiers, or  //we will get back the same instance that we pass in
// our column span is the number of columns in the PK
// allow the CollectionSnapshot to be serialized
// TODO: Fix this so it will work for non-POJO entity mode
"/**	 * @return collection removal	 * FIXME: even if isInverse=""true""?	 */"
// Next, try to locate this resource through the system classloader
// TODO : would be great to have a Mapping#hasNonIdentifierPropertyNamedId method // I don't believe that Mapping#getReferencedPropertyType accounts for the identifier property; so // if it returns for a property named 'id', then we should have a non-id field named id
//check for all components values in the collection
// Use the token as an identifier.
// no foreign key element of for a one-to-many
// IDENTIFIER
// For many-to-many joins, use the tablename from the queryable collection for the default text.
// TODO : should remove this exposure //  and have all references to the session's batcher use the ConnectionManager.
// no-op; CCS did not have such a concept
// Get all the select expressions (that we just generated) and render the select.
// even here, if only properties mapped to the "base table" are referenced // in the set and where clauses, this could be handled by the BasicDelegate. // TODO : decide if it is better performance-wise to perform that check, or to simply use the MultiTableUpdateDelegate
// refresh() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is tuplizer-centric, but is passed a session ~~~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Note : success = false, because we don't know the outcome of the transaction
// 'outer' is optional and is ignored
// serialization ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Does the LIMIT clause take a "maximum" row number instead of a total number of returned rows?
// Since the result set cursor is always left at the first // physical row after the "last processed", we need to jump // back one position to get the key value we are interested // in skipping
// if it was a reference to self, don't need to nullify // unless we are using native id generation, in which // case we definitely need to nullify
// This is now handled earlier in this method.
// we need to dirty check many-to-ones with not-found="ignore" in order  // to update the cache (not the database), since in this case a null // entity reference can lose information
// we do not have to worry about queued additions to uninitialized // collections, since they can only occur for inverse collections!
// needed later for many-to-many/filter application
//were an odd or even number of NOTs encountered //the join string built up by compound paths inside this expression //a flag indicating if the subexpression is known to be boolean
// We now have the value of the property-ref we reference.  However, // we need to dig a little deeper, as that property might also be // an entity type, in which case we need to resolve its identitifier
//check if the detached object being merged is the parent
// char
"//	register the type of the out param - an Oracle specific type"
//extra information about the element type
/*implied*/
"//explicit = true;	// This is an explict Select. //ArrayList sqlResultTypeList = new ArrayList();"
// If the uresolved property path isn't set yet, just use the property name.
//not found in inner query , try the outer query
// returnign null!
// TODO : not sure the best way to handle this. // The non-performant way :
//( (Column) sc.getTable().getPrimaryKey().getColumnIterator().next() ).getName();
// default to element set if no elements() specified
// todo : throw exception?
// add the discriminator
// todo : again, how *should* this work for non-pojo entities?
// Never evict this node
//if it is initialized, see if the underlying //instance is contained, since we need to  //account for the fact that it might have been //evicted
// PROPERTIES
// we could move this inside if we wanted to // tolerate collection initializations during // collection dirty checking:
//this one needed only for guessEntityMode()
//readResolveObject
// assume we are in an auto-commit state
//it is possible that the tree-walking in OuterJoinLoader can get to //an association defined by a subclass, in which case the property-ref //might refer to a property defined on a subclass of the current class //in this case, the table name is not known - this temporary solution  //assumes that the property-ref refers to a property of the subclass //table that the association belongs to (a reasonable guess) //TODO: fix this, add: OuterJoinLoadable.getSubclassPropertyTableName(String propertyName)
// a "detached" collection that originally belonged to the same entity
// features which change between 8i, 9i, and 10g ~~~~~~~~~~~~~~~~~~~~~~~~~~
// return the (fully resolved) identifier value, but do not resolve // to the actual referenced entity instance // NOTE: the owner of the association is not really the owner of the id!
// mutation depends on the types of nodes invloved...
//overriden to avoid System.exit
// nothing to do; even if the operand is a parameter, no way we could // infer an appropriate expected type here
//path expression
//override on some subclasses
// note that if we load this collection from a cartesian product // the multiplicity would be broken ... so use an idbag instead
//for EJB3
// short cut check...
// add the fetched entities
//not really necessary, but good for consistency...
// Collection of components.
// short
// The cache provider is needed when we either have second-level cache enabled // or query cache enabled.  Note that useSecondLevelCache is enabled by default
// miscellaneous support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// if no batch, use "foo = ? and bar = ?"
// look for a proxy
//ie no select clause in HQL
// We would probably refactor to have LogicParser (builds a tree of simple // expressions connected by and, or, not), ExpressionParser (translates // from OO terms like foo, foo.Bar, foo.Bar.Baz to SQL terms like // FOOS.ID, FOOS.BAR_ID, etc) and PathExpressionParser (which does much // the same thing it does now)
//( (Column) model.getTable().getPrimaryKey().getColumnIterator().next() ).getName();
"//		componentTuplizerFactory = new ComponentTuplizerFactory();"
// invokeinterface
// "finish off" the join
// logic operators by definition resolve to boolean.
//TODO: not quite sure about the full implications of this!
// float
// the standard SQL function name is current_timestamp...
// For property references generate <tablealias>.<columnname> as <projectionalias>
// The keyword used to specify an identity column, if identity column key generation is supported.
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// if the given name is un-qualified we may neen to qualify it
"//	protected List extendsQueue;"
// prefer re-generation of identity!
//private final String rootTableName;
// here, we work under the following assumptions: //      ------------ valid cases -------------------------------------- //      1) datetime + {something other than datetime} : always results //              in a datetime ( db will catch invalid conversions ) //      2) datetime - datetime : always results in a DOUBLE //      3) datetime - {something other than datetime} : always results //              in a datetime ( db will catch invalid conversions ) //      ------------ invalid cases ------------------------------------ //      4) datetime + datetime //      5) {something other than datetime} - datetime //      6) datetime * {any type} //      7) datetime / {any type} //      8) {any type} / datetime // doing so allows us to properly handle parameters as either the left // or right side here in the majority of cases
//Must occur after resolving identifiers!
// For implied many-to-many, just add the end join.
//otherwise return the "hydrated" state (ie. associations are not resolved)
// Re-arrange the tree so that the collection function is the root and the lhs is the path.
"// IMPL NOTE : due to the delayed population of setters (setters cached // 		for performance), we really cannot pro0perly define equality for // 		this transformer"
//We should actually rework this class to not implement Parser //and just process path expressions in the most convenient way.
// Start performing the updates
//true if this is a query and we are loading multiple instances of the same collection role //otherwise this is a CollectionInitializer and we are loading up a single collection or batch
//TODO: this class does too many things! we need a different //kind of path expression parser for each of the diffferent //ways in which path expressions can occur
// essentially, if the real session is closed allow any // method call to pass through since the real session // will complain by throwing an appropriate exception; // NOTE that allowing close() above has the same basic effect, //   but we capture that there simply to perform the unbind...
//handle <=, >=, !=, is not, not between, not in
// For the case of dynamic-update="true", we need to generate the UPDATE SQL
// register the standard dialect resolver
// this is either a <version/> tag with no type attribute, // or a <timestamp/> tag
// This is called when it's time to fully resolve a path expression.
/*sqlResultTypeList,*/
// work around that crazy issue where the tree contains // "empty" FromElements (no text); afaict, this is caused // by FromElementFactory.createCollectionJoin()
// Resolve to an identity column.
//if all fields are null, we might need to delete existing row
//the entity is associated with the session, so check its status
//TODO!!!!!!!
// meant to handle dynamic instantiation queries...
//strip leading ", "
// object loaded by update()
//Custom SQL (would be better if these were private)
// we are the LHS of the DOT representing a naked comp-prop-ref
// otherwise, everything ok.
//sqlResultTypeList.add( type );
//TODO: formulas ?
// Never include subclasses for implied from elements.
// Use the explicitly declared select expression; determine the // return types indicated by each select token
// this is a situation where the entity id is assigned by a post-insert generator // and was saved outside the transaction forcing it to be delayed
//TODO: implement caching?! proxies?!
// call this before any Iterator method to make sure that the current Iterator // is not exhausted
// Delegate to the QueryLoader...
//final boolean forceCacheRefresh,
//the first key found after the given key
// for sane JEE/JTA containers, the transaction itself functions as its identifier...
//WHERE STRING
//TODO: get SQL rendering out of this package!
// TODO: lowercasing done here. Was done "at random" before; maybe not needed at all ?
// table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//private List aliases = new ArrayList();
//information about properties of this class, //including inherited properties //(only really needed for updatable/insertable properties)
// may be final
//may be final //may be final //may be final
//instanceof AssociationType;
//now tie it all together
// Put a placeholder in entries, so we don't recurse back and try to save() the // same object again. QUESTION: should this be done before onSave() is called? // likewise, should it be done before onUpdate()?
"/*protected void initPropertyPaths(			final String path,			final Type type,			final String[] columns,			final String[] formulaTemplates,			final Mapping factory)	throws MappingException {		//addFormulaPropertyPath(path, type, formulaTemplates);		initPropertyPaths(path, type, columns, formulaTemplates, factory);	}*/"
// instantiate a new instance
// note that for sequential scrolling, we make the assumption that // the first persister element is the "root entity"
// this method is called when a new non-null collection is persisted // or when an existing (non-null) collection is moved to a new owner
// Otherwise, try to use the no-arg constructor
// putfield // new value of the field
//TODO: check this....
// Bind the where
