// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
/* \cX, \c\M-X */
// MRI behavior:  for 'Q', do not add trailing nils
// FIXME: Make bodyNode non-null in parser
/*self*/
// host and port given
"/*     * Throw bad file descriptor is we can not read on supplied descriptor.     */"
//                        RubyModule singletonClass = module.getSingletonClass();
// inside a loop, jump to body
// processes seem to have some peculiar locking sequences, so we // need to ensure nobody is trying to close/destroy while we are
// set self to the class
// line 757
// To turn a module into an "interface collection" we add a class instance // variable to hold the list of interfaces, and modify append_features // for this module to call append_features on each of those interfaces as // well
/* $?: last status */
// Makes sure the key is not already in the hashtable.
// Count of nested parentheses (1.9 only)
// TODO: other reserved names?
// line 669
// load up object and add a few useful methods
// FIXME moved this here to get what's obviously a utility method out of IRubyObject. // perhaps security methods should find their own centralized home at some point.
/* ---------- Private fields, methods --------- */
// scan class hierarchy for module
// LOCALVAR
// line 321
// using IOInputStream may not be the most performance way, but it's easy.
// TODO: do above but not below for additional newline nodes
// AF_INET
// with args, with block
// JRUBY-4113: callers should not call setTaint on immediate objects
// allow proxy to be read without synchronization. if proxy // is under construction, only the building thread can see it.
// CLD is also 20
// hash
// FIXME: the code below is a copy of RubyIO.puts, // and we should avoid copy-paste.
// line 851
// Optimize some core class method calls for constant values
// Special case for handling ACCMODE, since constantine will generate // an invalid value if it is not defined by the platform.
// line 563
// Ruby ignores empty syswrites
// Ensure room for terminating zero byte
// don't attempt to coerce to array, just wrap and return
// root-level logic
// rb_enc_mbclen
// Save sourceLine for error reporting to display line where error occurred
// symbol string *must* be interned
// In the current logic, if we get here we know that module is not an // IncludedModuleWrapper, so there's no need to fish out the delegate. But just // in case the logic should change later, let's do it anyway
// index of last character in pushback buffer
// line 1299
// line 543
// Each root node has a top-level scope that we need to push
// JRUBY-530 until case
// not allowed for existing Java interface modules
// if no exception raised, jump to end to leave result on stack for return
// line 1644
// line 1618
// store the wrapper
// line 512
// line 1776
// Class.allocate object is not allocatable before it is initialized
// Initial precision is that of double numbers 2^63/2 ~ 4E18 // 63-1 an even number of number bits // precision seems 16 to 18 digits
// grab nil for local variables
// line 1756
// SignalFacade
// force heap-scope behavior, since it uses parent's scope
// line 377
// No or mismatched braces..Move along..nothing to see here
// line 1995
// // INSTANCE VARIABLE API METHODS //
// not closing from finalize
// line 1488
// line 332
// There's not a compelling reason to keep JavaClass instances in a weak map // (any proxies created are [were] kept in a non-weak map, so in most cases they will // stick around anyway), and some good reasons not to (JavaClass creation is // expensive, for one; many lookups are performed when passing parameters to/from // methods; etc.). // TODO: faster custom concurrent map
// Create constants for open flags
// This is GROSS, but Java API's aren't ISO 8601 compliant at all
// line 890
// line 717
// FIXME: JRUBY-3188 ends up with condition returning null...quick fix until I can dig into it
// get "self"
// Store to temp so it does null out on us mid-stream
// something in here is used to build up ruby stack trace...
// line 1565
// close process output // See JRUBY-3405; hooking up to parent process stdin caused // problems for IRB etc using stdin.
// fall back to system JCA providers
// MRI extends in order from last to first
// dump usec, not msec
// ..where 100 -> 10 shifts the scale
/* $~: match-data */
// XXX: Check if it's appropriate type?
// inspect body and args
// line 1140
// The following constants capture pre-known static call sites -- used to implement ruby internals
// if name starts with a / we're done (classloader resources won't load with an initial /)
// line 817
/* Directories and unavailable resources are not able to open a stream. */
// octal constant
// this method is for finalizers registered via ObjectSpace
// How many occurrences of 'type' we want
// print out as a nice Ruby backtrace
// line 314
//            case SCLASSNODE: return buildSClass(node, m); // DEFERRED // done // done // done // done // done // done // done // done //            case UNDEFNODE: return buildUndef(node, m); // DEFERRED // done //            case VALIASNODE: return buildVAlias(node, m); // DEFERRED // done // done
// get JavaClass if this is the new proxy class; verify it // matches if this is a superclass proxy.
// By default, return instructions cannot be deleted
/* MSB is 1; assuring non-zero initial array */
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// Do nothing.  FD_CLOEXEC has no meaning in JVM since we cannot really exec.
// add 'new' with full signature, so it's guaranteed to be directly accessible // TODO: no need for this to be a full, formal JVM signature
// shift the decimal point just to the right of the digit to be rounded to (divide by 10**(abs(scale))) // -1 -> 10's digit, -2 -> 100's digit, etc.
//[reg]
// line 296
// ClassId is the name of the class/module sans where it is located. // If it is null, then it an anonymous class.
// Hit a non-java proxy class (included Modules can be a cause of this...skip)
// actual required is greater than 3, raise error (we don't support actual required > 3)
// Dataflow problem with which this node is associated // CFG node for which this node contains info.
// Static scoping information for this scope
// line 1085
//load should work several times in a row
// Unicode is can be only 21 bits long, int is enough
// line 1477
// confirm minimum args provided
// We only want IO objects with valid streams (better to error now).
//        assert internedName == internedName.intern() : internedName + " is not interned";
// line 367
//            assert false : "can this happen?";
// MRI 1.8.6 behavior: null byte after '%' // leads to "%" string. Null byte in // other places, like "%5\0", leads to error.
// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined
// interfaces are handled as modules
// look for mangling markers for compiled Ruby in method name
// invalid ranges result in an empty string
// FIXME: This needs to happen for lambdas //            args.checkArgCount(runtime, parameters.length);
/* rb: writable */
// including interface module so old-style interface "subclasses" will // respond correctly to #kind_of?, etc.
// TODO: Ruby reuses this logic for other "write" behavior by checking if it's an IO and calling write again
// READ_CHECK from MRI io.c
// SSS FIXME: This should never get called for constant svalues
// line 661
// No block from a nil proc
// TODO: non-strict option
// build a list of all modules to consider for inclusion
// ?p  | boolean | True if file1 exists and is a fifo
// . Array given to rest should pass itself // . Array with rest + other args should extract array // . Array with multiple values and NO rest should extract args if there are more than one argument
// Pickaxe says @ must be followed by a name character, but MRI // does not require this.
// RubyIPSocket
// relatively cheap test for 32-bit values
// now, create a method_added that can replace the DynamicMethod fields as they're redefined
// The cache is full. Abandon JIT for this method and bail out.
// refresh call adapter, since it matters if this is iter-based or not
// line 613
// FIXME: This should probably do some translation from Ruby priority levels to Java priority levels (until we have green threads)
// Add forward ref. edges
// second argument is allowed, but ignored (MRI)
// JRUBY-3625: delay setting backref until the MatchData is completely initialized
// [adapter, tc]
// initialize cache of parameter types to method
// not allowed for original (non-generated) Java classes // note: not allowing for any previously created class right now; // this restriction might be loosened later for generated classes
// no digits, go calc (will return +/- 0.0 for lax)
// This method is intended only for defining new modules in Ruby code
// line 769
// line 339
// SSS FIXME: Should I be returning the operand constructed here?
// line 839
// TODO: This should be something else like a tCHAR
// Create the ordered list of field names from the map
// // INSTANCE VARIABLE METHODS //
// line 1758
// ignore this; select() will set the correct mode when it is finished
// close it out
//private UnsynchronizedStack parentStack;
/* Time class methods */
// @JRubyMethod(name = "inexact?")
// can't do it
// break out if we've dug as deep as we can
// load null block
// line 823
// Our readback/pushback buffer.
// TODO: is this correct ?
// binary
// others
"/** * Represents the the dynamic portion of scoping information.  The variableValues are the * values of assigned local or block variables.  The staticScope identifies which sort of * scope this is (block or local). *  * Properties of Dynamic Scopes: * 1. static and dynamic scopes have the same number of names to values * 2. size of variables (and thus names) is determined during parsing.  So those structured do *    not need to change * * FIXME: When creating dynamic scopes we sometimes accidentally pass in extra parents.  This * is harmless (other than wasting memory), but we should not do that.  We can fix this in two * ways: * 1. Fix all callers * 2. Check parent that is passed in and make if new instance is local, then its parent is not local */"
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// line 1069
// new interrupt, to hopefully wake it out of any blocking IO
// class and module bodies default to public, so make the block's visibility public. JRUBY-1185.
// TODO: READ_CHECK from MRI
// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());
// set argv from main's args
// check the condition
// JRUBY-530, while case
// line 666
// line 745
// line 1038
// line 525
// Test that requiring a normal Java class raises an error (JRUBY-3214
// MRI does it!
// TODO: varargs?
// single string command, pass to sh to expand wildcards
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// intDigits isn't used here, but if it were, it would be 1
// line 1753
// We can just use dt, since it is immutable
// Note: We can't use file.exists() to check whether the symlink // exists or not, because that method returns false for existing // but broken symlink. So, we try without the existence check, // but in the try-catch block. // MRI behavior: symlink? on broken symlink should return true.
// This property is a Boolean, to allow three values, so it can match MRI's nil, false and true
// See if we have a converter for the job...
/* Individual analyses should override this */
// FIXME: shouldn't need @__java_ovrd_methods, just query locally defined methods.
// line 1090
// line 1815
/* MRI: block_append */
// line 1335
//yyLen 542
// More constants needed by specs
// line 1658
// Next CRef down the lexical structure
// IRubyObject, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String
// add java_method for unbound use
"/*  ================     *  Instance Methods     *  ================      */"
// Process any set of annotations // No supported options
// line 1652
// call is ok, punch it!
// The name of this source (e.g. a filename: foo.rb)
// MRI has extra pointer which makes our code look a little bit // more strange in // comparison
/* ----------- Private Interface ------------ */
// The implementations of these are all bonus (see TODO above)  I was going // to throw an error from these, but it appears to be the wrong place to // do it.
// SSS FIXME: Move this code to some utils area .. or probably there is already a method for this in some jruby utils class // Holy cow!  Just to append two darned arrays!
// check args first, since body inspection can depend on args
// just confirm minimum args provided
// line 1178
// We don't want a package name beginning with dots, so we remove them
// Note: In Ruby 1.9 all of this logic can go away since they will require explicit // bindings for evals.
/* Consider Thread aspects of this */
// do nothing, allow loop to redo
// multiple conditions for when
// line 342
// if adding a module under a constant name, set that module's basename to the constant name
// variable args no block, load null block
// horizontal tab
// attempt to set the permissions, if we have been passed a POSIX instance, // and only if the file was created in this call.
// add a few type-specific special methods
// do nothing, return dummy version below
// FIXME: Need to detect magic_comment in 1.9 here for encoding
// keep a reference to avoid the memory being freed
// Initialize all the core classes
// line 926
// implement is called to force this class to create stubs for all // methods in the given interface, so they'll show up in the list // of methods and be invocable without passing through method_missing
// line 1229
"/*      * This method takes as input a map of operands to their values, and outputs     * the result of this instruction.     *     * If the value map provides a value for any of the instruction's operands     * the expectation is that the operand will be replaced with the simplified value.     * It is not required that it do so -- code correctness is not compromised by failure     * to simplify.     *     * @param valueMap Mapping from operands to their simplified values     * @returns simplified result / output of this instruction     */"
// for Thread::start, which does not call the subclass's initialize
// line 772
// just push nil for pragmas
// TODO: This is almost RubyModule#instance_methods on the metaClass.  Perhaps refactor.
// This is a bit convoluted because (1) SocketChannel.bind is only in jdk 7 and // (2) Socket.getChannel() seems to return null in some cases
// should invoke seek on realIo
// 64-bit number, native (as bignum)
// ignore, no debugger present
// can't create custom classloaders
// verify it if it's there
// source extensions
// SSS FIXME: 1. Is the ordering correct? (poll before next)
// execute command with sh -c // this does shell expansion of wildcards
// For nodes do not have their own scope so we pass null to indicate this. // 'For's are implemented as blocks in evaluation, but they have no scope so we // just deal with this lack of scope throughout its lifespan.  We should probably // change the way this works to get rid of multiple null checks.
// TODO: SafeStringValue here
// line 1122
// JRUBY-3568, inherit threadgroup or use default
// if v1 is defined and true, we are done!
// We need to close the out, since some // processes would just wait for the stream // to be closed before they process its content, // and produce the output. E.g.: "cat".
// negative values
// logEvery n methods based on configuration
// SSS: Looks like we receive the arg in buildBlockArgsAssignment via the IterNode // We won't get here for argument receives!  So, buildDasgn is called for // assignments to block variables within a block.  As far as the IR is concerned, // this is just a simple copy
// For JRUBY-2759, when MET choose CET timezone to work around Joda
"/*              * Execute a Ruby script (add the menubar to the frame).             */"
// line 1809
// will have a trailing '.' // g fills trailing zeroes if #
// look for mangling markers for bound, framed methods in class name
// Dot is not at beginning and not at end of filename.
// Experimental class reification support, to create real Java classes // for Ruby classes after the first opening
// save the ungot
"/*     * This is the proper behavior for all non-expanded assigners.     */"
// add us to new superclass's child classes
// ctor used by remove/rehash
// InvocationCallback
// LEXPOP
// ----- Helper Methods --------------------------------------------------------
// RetryJump, CacheEntry, ThreadContext, IRubyObject, IRubyObject
// line 1562
// for fast lookup: encoding entry => org.jruby.RubyEncoding
// superClazz = null;
// line 696
// strip c: away from relative-pathed name
// write-volatile
// We always open this rw since we can only open it r or rw.
// TODO: is this the right thing to do?
// TODO: People extending GzipWriter/reader will break.  Find better way here.
// We capture the original "new" and make it private
// load block if it accepts block
/* Tempering */
"/** rb_obj_id     *     * Return the internal id of an object.     *     * FIXME: Should this be renamed to match its ruby name?     */"
// all errors, just info; do not prevent loading // IKVM does not support JMX, and throws an error
// setup constants for public inner classes
// We only define one special dynamic scope per 'logical' binding.  So all bindings for // the same scope should share the same dynamic scope.  This allows multiple evals with // different different bindings in the same scope to see the same stuff.
// FIXME:  Total hack to get flash in Rails marshalling/unmarshalling in session ok...We need // to totally change marshalling to work with overridden core classes.
// Special classes like Collections.EMPTY_LIST are inner classes that are private but  // implement public interfaces.  Their methods are all public methods for the public  // interface.  Let these public methods execute via setAccessible(true).
// we were woken up without being selected...poll for thread events and go back to sleep
// TODO: wire into new exception handling mechanism
// select appropriate call site // dup receiver // load self
// set the binding's frame's "previous" file and line to current, so // trace will show who called the block
// Used for the 'redo' command
/* $,: output field separator */
// // Determine if the parameter might be passed as a 32bit int parameter. // This just applies to buffer/pointer types. //
// dynamically increase
// set of utility methods for Java-based proxy objects
// strip off "_dot_rb" for .rb files
// line 1154
// arg grouping, use slower arg walking logic
// finally with no exception
// initialize this if it hasn't been
// make sure the pipe stream is set to null
// 5 -> 2, -5 -> -3 need half a scale more..
// line 1264
// line 1279
// set constants now that they're initialized
// Because we implement Java interfaces now, we need a new === that's // aware of those additional "virtual" supertypes
/*arg2*/
// TODO: keep cr // TODO: rb_str_splice_0
// select until read is ready
/* FIXME: lose syntactical elements here (and others like this)*/
// it was not found at all!
// Prepare a string with the same number of redundant slashes so that  // we easily can prepend it to the result.
// TODO: should probably apply the null object pattern for a // non-allowed class, rather than null
// // Remove the Executor task now, to avoid cancelled tasks accumulating // until an Executor thread can schedule and remove them //
// check for Proc.new, an especially magic method
// there might be more test classes in a single file, so we iterate over them
// This method is called to build arguments for a block!
// Get the value from the map via the key
// Now we add an "implement" and "implement_all" methods to the class
// Decrease value to hit upper range.
/* File class methods */
// FIXME: I think we need these pushed somewhere?
// NIO-based
// no receiver for singleton class
// Make sure the module we include does not already exist
// For simplification, get the target value, even if compound
"/** * FIXME: This version is faster than the previous, but both suffer from a * crucial flaw: It is impossible to create an ObjectSpace with an iterator * that doesn't either: a. hold on to objects that might otherwise be collected * or b. have no way to guarantee that a call to hasNext() will be correct or * that a subsequent call to next() will produce an object. For our purposes, * for now, this may be acceptable. */"
// line 627
// difficult case, send to Double/FloatingDecimal
// required and optional only
// finish class initializer
//        assert internedSymbol == internedSymbol.intern() : internedSymbol + " is not interned";
// Skip /usr/bin/env if it's first
"/*     * We use FILE versus IO to match T_FILE in MRI.     */"
// ignore compiler pragmas
// 0.0 is ok // float range // inverted float range? // NaN // +infinity // -infinity
// first, check if the sender has unreceived mail
/* List of all variables used by all operands of this instruction */
// index of left-most brace // index of right-most brace
// all other arities use "n" dispatch path
// Jump to 'l' if this arg is not null.  If null, fall through and build the default value!
// line 551
// line 1258
// promise to implement one to N with block
// TODO: call ruby method
// internal usage (Complex/Rational)
// line 1745
// these are only needed if we have a non-noop call config
// line 413
// store the new local vars in a local variable
// this test really means, that this is a ruby-defined subclass of a java class
// line 1201
// ignore; job was cancelled // FIXME: Is this ok?
// TODO: 3 times calculate the same value below
// line 955
// line 1657
// mutex that controls modifications of internal finalizers
// Variables live at entry of this node // Variables live at exit of node // Temporary set of live variables // Size of the "_in" and "_out" bit sets
// we reached the end of a list
// MRI behavior:
// set up with min values and then add to allow rolling over
// If true, returns the rest of the array starting at the index
// line 1782
// former java.lang.System concepts now internalized for MVM
// Because Regexp#=== sets backref, we have to make this backref-aware
// line 1119
// Copy constructor
// Pre-create all the core classes potentially referenced during startup
// next, iterate over all optional args, until no more arguments
/* was $$ = null;*/
// index for the item
// array creation should use this variant
// Number of newlines read from the reader
// Value of the last expression in the block
// Note: #fix has only no-arg form, but truncate allows optional parameter.
// catch logic for flow-control: next, break
// FIXME: Somehow I'd feel better if this could get the appropriate var index from the ArgumentNode
// line 861
// Is this thread currently doing an defined? defined should set things like $!
// line 1427
// if root of method is rescue, build as a light rescue
// line 775
// line 443
// if it's an array, only add methods for aref, aset, and length
// done // done // done // Nothing to do for 1.8 // done // done // done // done // done // done // done? // done // done // done // done // done // done // done // done // done // done // done //            case DEFINEDNODE: return buildDefined(node, m); // Incomplete // done // done // done // done // done // done // done // done //            case ENSURENODE: return buildEnsureNode(node, m); // DEFERRED // done // done // done // done //            case FLIPNODE: return buildFlip(node, m); // SSS FIXME: What code generates this AST? // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done? // done // done // done // done // done // done -- partially //            case OPELEMENTASGNNODE: return buildOpElementAsgn(node, m); // DEFERRED SSS FIXME: What code generates this AST? // done //            case POSTEXENODE: return buildPostExe(node, m); // DEFERRED //            case PREEXENODE: return buildPreExe(node, m); // DEFERRED // done?? // done
//yyGindex 136
// line 1473
// out of byte range // there will be no match for sure
// line 1315
// line 866
// not an expression, don't want result; pop it
// no dec digits, end of parseable data, go to calc
// 1. Load the module first (lhs of node) // 2. Then load the constant from the module
// line 1716
// first non_underscore char must be digit
// only public methods
// line 1323
// optimization guards
// load the encoding
// line 540
// enum lex_state
// line 572
// line 1622
// do nothing, just exit
// otherwise load the library we've found
// line 317
// We're not setting the provider or anything, but it seems that BouncyCastle does some internal things in its // provider's constructor which require it to be executed in a secure context. // Ideally this hack should be removed. See JRUBY-3919 and this BC bug: //   http://www.bouncycastle.org/jira/browse/BJA-227
// RaiseException is on stack, get RubyException out
//System.err.println(" stringToLong=" + val);
// line 1032
// line 1151
// TODO: reads/writes from frame // TODO: information on scoping // TODO: visibility?
// restore the original exception
/* Hack in to replace usual readline with this */
//assertEquals("\"foo\"\n\"bar\"", eval("$h.each {|val| p val}")); //assertEquals("[\"foo\", \"bar\"]", eval("p $h.each {|val| }"));
// line 1118
// wait for the go signal
// variable is never read, variable is never live
// SSS FIXME: I added this in.  Is this correct?
// // Copy what is in the buffer, if there is some buffered data //
// happens with native exceptions, should not filter those out
// extras flag
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415
// TODO: Implement tty? and isatty.  We have no real capability to // determine this from java, but if we could set tty status, then // we could invoke jruby differently to allow stdin to return true // on this.  This would allow things like cgi.rb to work properly.
// JRUBY-2380, associate future early so it shows up in Thread.list right away, in case it doesn't run immediately
// line 808
// // COMMON VARIABLE METHODS //
// Without a flush Ant will miss some of our output
// foo()
// DEBUGGING HELP
// line 1818
// Should we do anything?
// tc // under method // self // under method // name // args
// default: don't retain
// line 464
// Do not mark this instruction's operands live if the instruction itself is dead!
// not enough bytes
// not saving DFS instance, as it will only be used once (at most) per call
// JRUBY-2938 the proxy class might already exist
// remove us from old superclass's child classes
// int, native // long, native
// promise to implement zero to N
// Java and MRI definitions of modulo are different.
// redo jump handling
// MRI behavior: swallow StandardErorrs
// inside a loop, jump to conditional
// module is on top of stack
// not intended to be called directly by users (private) // OLD TODO from Ruby code: // This should be implemented in JavaClass.java, where we can // check for reserved Ruby names, conflicting methods, etc.
"/* NEWOBJ and OBJSETUP equivalent     * fastest one, for shared arrays, optional objectspace     */"
// line 1687
// if body is a rescue node, inspect its pieces separately to avoid it disabling all optz // TODO: this is gross.
// try cwd first
// end suffix iteration
// currBB cannot be null!
// Stores
// EOF (ENEBO: After default?
// no annotated methods found, skip
// The class of this object
// normal finally and exit
// Let m be the exact digits precision in an earlier! loop
// it's not one of the types we convert, so just pass it out as-is without wrapping
// if we're not the "argument scope" for zsuper, try our parent
// JRUBY-914: Java 1.4 BigDecimal does not allow a negative scale, so we have to simulate it
// CONSTANT
// volatile to ensure that initial nil-fill is visible to other threads
// list of interfaces we implement
/* XXX*/
"/*     * Process {}'s (example: Dir.glob(""{jruby,jython}/README*"")      */"
// line 886
// // rb_str_buf_append
// class bodies prepare their own dynamic scope, so let it do that
// first digit is always printed
// block given
// MRI behavior, enforced by tests
// if we're already aborting, we can receive no further mail
// index of variable for this arg
// Count number of extra slashes in the beginning of the string.
// Is this thread currently with in a function trace?
// Java.getProxyClass deals with sync issues, so we won't duplicate the logic here
// ?O  | boolean | True if file1 exists and is owned by the caller's real uid
// TODO: better error handling
// jump back to the top of the main body of this closure
// line 708
// rb_exc_new3
// store call information so method_missing impl can use it
// adjusts paths started with '/' or '\\', on windows.
// line 1283
// Normally we could leave these to fall back on the superclass, but // since it dispatches through the [] version below, which may // dispatch through the []+block version, we can save it a couple hops // by overriding these here.
// line 814
// SSS FIXME: Token can be final for a method -- implying that the token is only for this particular implementation of the method // But, if the mehod is modified, we create a new method object which in turn gets a new token.  What makes sense??  Intuitively, // it seems the first one ... but let us see ... // Current code version token for this method -- can change during execution as methods get redefined!
// this is for a range check, near as I can tell
// methods and closures
"/*     * Fixme:  This does not have exact same semantics as RubyArray.join, but they     * probably could be consolidated (perhaps as join(args[], sep, doChomp)).     */"
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// assign remaining elements as an array for rest args (or empty array)
// Last token read via yylex().
// extension extensions
/*package-protected*/
// line 732
// Make sure any read()s after close fail.
//[C, C] //[C, C, String] //[C, null|C]
// line 788
