//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
//TODO: move these to a new JoinableType abstract class, //extended by EntityType and PersistentCollectionType:
//do replacements
// iinc 3, 1
// cleanup code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// end region to handling exception (BulkAccessorException)
// property name is a sub-path of a component...
//disable a join back to this same association
// the element has changed
//cachedState,
// todo: this might really even be moved into the cfg package and used as the basis for all things which are configurable.
// If this return's alias has not been processed yet, do so b4 further processing of this return
// an association
// assumes that types are all of span 1
// index of current iterator in the wrapped iterators array
// keyword support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//ie. the entity came in from update()
// Parameter handling code ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// look for the instance by uuid
//dontSpace.add("'");
// Clone //-----------------------------------------------------------------------
//TODO: suck this logic into the collection!
// don't create a unique key, 'cos some // databases don't like a UK on nullable // columns //getCollectionTable().createUniqueKey( getIdentifier().getConstraintColumns() );
// Eager fetch the collection so we can use it detached
// convenience methods relating to operations across arrays of types...
// Do nothing, eplicit from elements are *always* in the projection list.
"//		 This assumes you will want to ignore any update counts "
//special case ... this is the leaf of the containment graph, even though not immutable
// get meta's from // <joined-subclass>
// Otherwise, this is a primitive type.
// position cursor to the last row
// #3 - note that this is also true of "datetime - :param"...
// We need to generate ids as part of this bulk insert. // // Note that this is only supported for sequence-style generators and // post-insert-style generators; basically, only in-db generators
// the name of an SQL function
// we do not actually propogate ANTLRExceptions as a cause, so // log it here for diagnostic purposes
// ResultSet impl (delegated) ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// otherwise, we only need to flush if there are in-memory changes // to the queried tables
// revert to traditional hibernate behavior of setting initialPoolSize to minPoolSize // unless otherwise specified with a c3p0.*-style parameter.
// from the collection of associations, locate OJA for the // ManyToOne corresponding to this persister to fully // define the many-to-many; we need that OJA so that we can // use its alias here // TODO : is there a better way here?
//FIXME: get the PersistentClass
// we need to determine the best way to know that two joinables // represent a single many-to-many...
// we need to dirty check many-to-ones with not-found="ignore" in order  // to update the cache (not the database), since in this case a null // entity reference can lose information
// this implementation is supposed to tolerate incorrect unsaved-value // mappings, for the purpose of backward-compatibility
//TODO: simply remove this override //      if we fix the above todos
// Make sure we don't override previous set values
// for merging of versioned entities, we consider the version having // been changed only when: // 1) the two version values are different; //      *AND* // 2) The target actually represents database state! // // This second condition is a special case which allows // an entity to be merged during the same transaction // (though during a seperate operation) in which it was // originally persisted/saved
// disassemble named parameters
// cascade first, so that all unsaved objects get their // copy created before we actually copy
// ConnectionManager.Callback implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//even on inverse="true"
//even process null collections
// register synch; stats.connect()
//TODO: COPY/PASTE FROM SessionImpl, pull up!
//it must be a collection fetch
// EARLY EXIT!!!  return so the resolve call explicitly coming from DotNode can // resolve this...
// this property belongs to the table, and it is not specifically // excluded from optimistic locking by optimistic-lock="false"
// return an empty Type array
// There is already an existing batch for this type of entity. // Check to see if the latest batch is acceptable.
//TODO: better to pass the id in as an argument?
// temporary ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//handle HQL2 collection syntax
//put() has nowait semantics, is this really appropriate? //note that it needs to be async replication, never local or sync
//init the table here instead of earlier, so that we can get a quoted table name //TODO: would it be better to simply pass the qualified table name, instead of //      splitting it up into schema/catalog/table names
// return false;
// index should be last column listed
//the first key found after the given key
// now anything that is not a HQL keyword
//init the aliases, after initing the constructornode
// if we instantiate a collection during the flush() process, // we must ignore it for the rest of the flush()
// Ensures that containing deletions happen before sub-deletions
//assembled state gets put in a new array (we read from cache by value!)
// collect EntityIdentifier(s) of the *current* elements - add them into a HashSet for fast access
// Make sure JBC doesn't look one up
// todo : YUCK!!!
//values is not null and is checkable, we'll look deeper
// *** Sequence methods - end
//MULTITABLES
// Retrieve the value of the designated column in the current row of this // ResultSet object as a java.io.Reader object
// set last used iterator here, in case the user calls remove // before calling hasNext() or next() (although they shouldn't)
// sequentially read the result set in reverse until we recognize // a change in the key value.  At that point, we are pointed at // the last physical sequential row for the logical row in which // we are interested in processing
// See if the entity is already bound to this session, if not look at the // entity identifier and assume that the entity is persistent if the // id is not "unsaved" (that is, we rely on foreign keys to keep // database integrity)
//the database has changed now, so the subselect results need to be invalidated
//if we only returned one entity, query by key is more efficient
// Write HTML header
"/*		 * We might want a special case for 19,2. This is very common for money types		 * and here it is converted to 18,1		 */"
//TODO: make EntityPersister *not* depend on SessionFactoryImplementor //interface, if possible
// Create nodes that track line and column number.
// see explanation above...
// HELLA IMPORTANT OPTIMIZATION!!!
// Configure the cache to use our TM
// allow these to go through the the real session no matter what
// the user provided resulttransformer, not the one used with "select new". Here to avoid mangling // transformed/non-transformed results.
// only carry on if the method has no parameters
//NONE, because its the requested lock mode, not the actual!
// Time and Date Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Look through the FromElement's children to find any collections of values that should be fetched...
// we have to set up the table later!! yuck
// semantic action handling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Fix up the resident flag
// assume this ident's text does *not* refer to a property on the given persister
// we only release the connection
// wrapped iterators
// all AliasToEntityMapResultTransformer are considered equal ~~~~~~~~~~~~~
//TODO: avoid this for non-new instances where mightBeDirty==false
// amazingly, these two will work because AbstractCollection // uses iterator() to fill the array
//use of trim() here is ugly?
//if it is a property of an embedded component, invoke on the "identifier"
//sqlResultTypes = ( Type[] ) sqlResultTypeList.toArray( new Type[sqlResultTypeList.size()] );
// trying via forName() first to be as close to DriverManager's semantics
//optimization //optimization
// If we have <tt>not-found="ignore"</tt> association mapped to a // formula, we always need to dirty check it, so we can update the // second-level cache
// invokeinterface // invoke Callback.read*() // each type
// TODO: check if key contains the owner ID
// we are the LHS of the DOT representing a naked comp-prop-ref
// else if it's elements changed
// if there is no order by, make one
// Execute the SQL:
//TODO: implement functionality //  this might be painful to do here, as the "join post processing" for //  the subquery has already been performed (meaning that for //  theta-join dialects, the join conditions have already been moved //  over to the where clause).  A "simple" solution here might to //  perform "join post processing" once for the entire query (including //  any subqueries) at one fell swoop
// table-specific parameters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// if a composite key, use "( (foo = ? and bar = ?) or (foo = ? and bar = ?) )" for batching //TODO: unnecessary for databases with ANSI-style joins
//workaround for WebLogic
// Let return-propertys override whatever the persister has for aliases.
//do nothing - we only need to notify the cache...
// HHH-276 : implied joins in a subselect where clause - The destination needs to be added // to the destination's from clause. // Not sure if this is will fix everything, but it works.
//Mainly for OSCache
// finally handle the exception
//TODO: this is temporary in that the end result will probably not take a Property reference per-se.
// Some JDBC drivers erroneously return an empty array here for a null DB value :/
// peek ahead
// COMPOSITE-ID
// NOTE: Because we're using ASTUtil.createParent(), the tree must be created from the bottom up. // IS EMPTY x => (EXISTS (QUERY (SELECT_FROM (FROM x) ) ) )
// this method is called when a new non-null collection is persisted // or when an existing (non-null) collection is moved to a new owner
// now rebuild the insertions list. There is a batch for each entry in the name list.
// grab its state from the ResultSet and keep it in the Session // (but don't yet initialize the object itself) // note that we acquire LockMode.READ even if it was not requested
// if the current depth is 0, the root thing being loaded is the // many-to-many collection itself.  Here, it is alright to use // an inner join...
//public Object instantiate(Object parent, SessionImplementor session) throws HibernateException;
//not sure if this would ever be null but wanted to be careful
//cfg.setProperty("hibernate.show_sql", "true");
// todo : what else to do here?
//we only check the version when _upgrading_ lock modes
// The path AST should be a DotNode, and it should have been evaluated already.
// Does this dialect support check constraints?
// add another (inner) nested select // add the main query // close off the inner nested select
// we just hit the last position
"// Entity load contexts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // 	* currently, not yet used..."
// FieldHandler impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
/*(LockMode) anything*/
//TODO: really bad, evil hack to fix!!!
// The cache provider is needed when we either have second-level cache enabled // or query cache enabled.  Note that useSecondLevelCache is enabled by default
// Do the corresponding RHS
//only necessary for postgre < 7.4 //http://anoncvs.postgresql.org/cvsweb.cgi/pgsql/doc/src/sgml/ref/create_sequence.sgml
//delete all the deleted entries
// Anywhere else we should look?
// false indicates to not generate parens around the assignment
//JDBC and connection settings:
// we can't batch joined inserts, *especially* not if it is an identity insert; // nor can we batch statements where the expectation is based on an output param
// Validate that an alias name was provided to determine which pool to use
"//	private final List extendsQueue;"
// todo : add support for READ_WRITE ( + NONSTRICT_READ_WRITE ??? )
// do *not* over-write the column text, as that has already been // "rendered" during resolve
// classes mentioned in extends not available - so put it in queue
// orphans should be deleted during delete
//pass this as an argument only to avoid double looking
// classic parser does not support bulk manipulation statements
//ugly little workaround for fact that createUniqueKeyLoaders() does not handle component properties
//TODO: perhaps this should be some other RuntimeException...
"//	public BytecodeProvider getBytecodeProvider() { //		return bytecodeProvider; //	} // //	void setBytecodeProvider(BytecodeProvider bytecodeProvider) { //		this.bytecodeProvider = bytecodeProvider; //	}"
//TODO: assumes all collections disassemble to an array!
// we do not know either type //BLIND GUESS!
// make sure spinning forward did not put us past the end of the buffer...
//or its the id property name
// Tell hibernate to use getBytes instead of getBinaryStream
//TODO: this needn't exclude subclasses...
// athrow
// we are the RHS of the DOT representing a naked comp-prop-ref
//use the current version
// ignore this row, the collection is in process of // being loaded somewhere further "up" the stack
// Double check the distributed cache
//yuck!
// since this entity will now be processed in the latest possible batch, // we can be assured that it will come after all other associations, // there's not need to continue checking.
//it might be an unwrapped collection reference! //try to find a wrapper (slowish)
//path expression
//null version means the object is in the process of being loaded somewhere else in the ResultSet
"/**	 * Translates an AST join type (i.e., the token type) into a JoinFragment.XXX join type.	 *	 * @param astJoinType The AST join type (from HqlSqlTokenTypes or SqlTokenTypes)	 * @return a JoinFragment.XXX join type.	 * @see JoinFragment	 * @see SqlTokenTypes	 */"
// ----------------------------------------------------- Instance Variables
//TODO: design new lifecycle for ProxyFactory
// methods to make it possible to use the Native Id generator
// Always add the type to the return type list.
// handle a path expression or class name that // appears at the start, in the "new" HQL // style or an alias that appears at the start // in the "old" HQL style
// Simple tests that require no synchronization
// If close() is called, guarantee unbind()
// not really a many-to-one association *necessarily*
// orphans should be deleted during save/update
// from Map
// Build the dynamic-map tuplizer...
// The FROM fragment will probably begin with ', '.  Remove this if it is present.
// otherwise (subquery case) dont reuse the fromElement if we are processing the from-clause of the subquery
//SQL Exception converter:
// ORPHAN DELETE (used for programmer error detection)
// Multi-param date dialect functions...
// Add the new node to the map so that we don't create it twice.
// subclass discrimination works by assigning particular // values to certain combinations of null primary key // values in the outer join using an SQL CASE
//TODO: bad implementation, cos it depends upon ordering of mapping doc //      fixing this requires that Collection/PersistentClass gain access //      to the Mappings reference from Configuration (or the filterDefinitions //      map directly) sometime during Configuration.buildSessionFactory //      (after all the types/filter-defs are known and before building //      persisters).
// OptimisticCache impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Prepare the left hand side and get the data type.
// Remember Isolation level
// This method may be called many times!!
// Need to use the identifier type of the collection owner // since the incoming is value is actually the owner's id. // Using the collection's key type causes problems with // property-ref keys...
//test this entity to see if we must query it
//it was a boolean expression
//it refers to an alias of a projection
// this is used during SqlGenerator processing
//first element of array is reserved for the actual instance we are loading!
// legacy behavior (with no abstract attribute specified)
// even though we might find a pre-existing element by join path, we may not be able to reuse it...
// starts with the name of a mapped class (new style)
"/*protected void initPropertyPaths(			final String path,			final Type type,			final String[] columns,			final String[] formulaTemplates,			final Mapping factory)	throws MappingException {		//addFormulaPropertyPath(path, type, formulaTemplates);		initPropertyPaths(path, type, columns, formulaTemplates, factory);	}*/"
//important: reuse the same event instances for performance!
// try to "pretty print" it
//note early exit here:
"/* will check current level if some of them are not null		 * or sublevels if they exist		 */"
// Not null if the Isolation level has been specified in the configuration file. // Otherwise, it is left to the Driver's default value.
//EARLY EXIT!
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // stuff that is Tuplizer-centric ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// identifier-commalist
// adds remove as a sort-of alias for delete...
//take note when this is a boolean expression
// the cache of the actual plans...
// Return StringBuffer content as a large String
// we can do the cast since orphan-delete does not apply to: // 1. newly instantiated collections // 2. arrays (we can't track orphans for detached arrays)
// early exit...
// object have been loaded with setReadOnly(true); HHH-2236
// note that if we load this collection from a cartesian product // the multiplicity would be broken ... so use an idbag instead
// invokespecial // BulkAccessorException.<init>
// Use the explicitly declared select expression; determine the // return types indicated by each select token
// Frontbase has no known variation of a "SELECT ... FOR UPDATE" syntax...
// persists don't cascade to uninitialized collections
// first, break down the returns into maps keyed by alias // so that role returns can be more easily resolved to their owners
// both are Timestamps
"//		this.sessionFactory = sessionFactory;"
// set the name of bulk accessor.
// public getters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// if the metadata allowed proxy creation and caller did not request forceful eager loading, // generate a proxy
"/*rootTableName = persistentClass.getRootTable().getQualifiedName( 				factory.getDialect(), 				factory.getDefaultCatalog(), 				factory.getDefaultSchema() 		);*/"
// The user requested a "greater" (i.e. more restrictive) form of // pessimistic lock
//overwrite old proxy
//st.setDate( index,  new Date( cal.getTimeInMillis() ), cal ); //JDK 1.5 only
// Set the attributes of the property reference expression.
// this is equivalent to the old behavior...
// If true then execute db updates, otherwise just generate and display updates
// *load_1
// Make sure the owner alias is known...
// Initialize SQL nodes here.
// TODO: something much better - look at the type of the other expression! // TODO: Have comparisonExpression and/or arithmeticExpression rules complete the resolution of boolean nodes.
// Create SQL_TOKEN nodes for the columns.
// Due to the complexity in initializing the SelectClause, do not generate one here. // If it is not found; simply return null... // // Also, do not cache since it gets generated well after we are created.
//null clientLock is remotely possible but will never happen in practice
//<String, String>
// NativeSQL: collect index column and auto-aliases
//for backward compatibility, disable this:
"/**	 * @return collection removal	 * FIXME: even if isInverse=""true""?	 */"
// For many-to-many joins, use the tablename from the queryable collection for the default text.
//saveOrUpdateCopy() is deprecated!
// handle empty collection
// Multi-param numeric dialect functions...
// boolean, byte, char, int, short
//" cascade";
// we already know current is not null...
//work around a bug in all known connection pools....
// in non-select queries, the only time we should need to join is if we are in a subquery from clause
/* | this | bean | args | i | raw bean | exception | */
// null is not considered the same type as Integer. //$NON-NLS-1 //$NON-NLS-1
// there were no queued additions // and the role has a cache
// The reason for this is SQL doesn't let you sort by an expression you are // not returning in the result set.
// Does the collection referenced by this FromElement // specify an order-by attribute?  If so, attach it to // the query's order-by
//pad with nulls from the current last element up to the new index
//SPACES //TODO: i'm not sure, but perhaps we should exclude //      abstract denormalized tables?
// Overridden informational metadata ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//		registerColumnType( Types.VARCHAR, 16777215, ""mediumtext"" );"
// Was there an explicit select expression?
//arbitrary on clause ignored!!
//if we could not register a synchronization, //do the before/after completion callbacks //ourself (but we need to let jdbcContext //know that this is what we are going to //do, so it doesn't keep trying to register //synchronizations)
// Default to collections sharing entity cache if there is one
// if it is a compound path
// SQLFunction implementation
// No additional open braces found in the string, append the // rest of the string in its entirty and quit this loop
// aload_3 // load the raw bean
// find any entities that are still transient after retry
// NOT NULL VIOLATION
"/** * Provides query splitting methods, which were originally in QueryTranslator. * <br> * TODO: This will need to be refactored at some point. * * @author josh */"
// work around the "feature" where tree cache is validating the // inserted node during the next transaction. no idea...
// First, try to locate this resource through the current // context classloader.
// get meta's from <hibernate-mapping>
// for some reason the antlr.CommonAST initialization routines force // this method to get called twice.  The first time with an empty string
// constructors and factory methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// otherwise immediately materialize it
// ATTRIBUTES USED ONLY DURING FLUSH CYCLE
//TODO: validate existing of property with the chosen name. (secondpass )
/* local variables | target obj | each oldvalue | */
//TRANSIENT or DELETED
// if it was previously unreferenced, we need to flush in order to // get its state into the database in order to execute query
// A session is considered to contain an entity only if the entity has // an entry in the session's persistence context and the entry reports // that the entity has not been removed
//the class discriminator value
// the closure of all properties in the entire hierarchy including // subclasses and superclasses of this class
//create an index on the key columns??
//TODO!
// eat it and try next
// no big deal
// logic operators by definition resolve to boolean.
//create all the new entries
//optimize the hash size to eliminate a rehash.
//notice that we skip the first table; it is the driving table!
//TODO: inefficient
//TODO: something with formulas...
// Identity map of EntityEntry instances, by the entity instance
// dirty check against the usual snapshot of the entity
// intentionally empty
// otherwise, recurse
// The loop ensures atomicity of the // select + update even for no transaction // or read committed isolation level
// invokespecial
// Create an OuterJoinGenerator for this dialect.
// ... and the expected token type was an identifier, then:
"//	public boolean isShowSqlEnabled() { //		return showSql; //	} // //	public boolean isFormatSqlEnabled() { //		return formatSql; //	}"
// This handles HHH-354, where there is a strange property name in a where clause. // If the lookahead contains a DOT then something that isn't an IDENT...
// meant to handle dynamic instantiation queries...(Copy from QueryLoader)
// Execution methods ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// (NOT (GT a b) ) => (LE a b)
// TODO: skip formulas?
// For the case of dynamic-update="true", we need to generate the UPDATE SQL
//TODO: make this handle multiple collection roles!
//note that each iteration of the loop may add new elements
// DB-OBJECTNAME
//If the object is already loaded, return the loaded one
"//		return ""select CURRENT_TIMESTAMP from RDB$DATABASE"";"
// ignore it...
//don't bother trying to update, we know there is no row there yet
// joined subclasses
//TODO: used to be exprNoParens! was this needed?
// for dialects which are known to not support ANSI-SQL row-value-constructor syntax, // we should mutate the tree.
// is a primitive type // invokespecial
// unsorted, natural, comparator.class.name
// note: performExecutions() clears all collectionXxxxtion  // collections (the collection actions) in the session
// Generate an explicit join for the root dot node.   The implied joins will be collected and passed up // to the root dot node.
// need to treat this as if it where optimistic-lock="all" (dirty does *not* make sense); // first we need to locate the "loaded" state // // Note, it potentially could be a proxy, so perform the location the safe way...
// Implicit joins use theta style (WHERE pk = fk), explicit joins use JOIN (after from)
// Add any joins
// Append the text of the current node.
// Get the first child to be considered.  Sub-classes may do this differently in order to skip nodes that // are not select expressions (e.g. DISTINCT).
// SQLException support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//sort the updates by pk
// allow the CollectionSnapshot to be serialized
// Serialize //-----------------------------------------------------------------------
//source.getBatcher().executeBatch(); //found another way to ensure that all batched joined inserts have been executed
//needed by arrays
//may be final //may be final //may be final
// checkcast (case of primitive type) // invokevirtual (case of primitive type)
//allow ODMG OQL style: from Person p, p.cars c
// if the property mapping consists of all formulas,  // make it insertable
//TODO: move to .sql package, and refactor with similar things!
// The keyword used to specify a nullable column.
// Informix doesn't have a bit type
// returnign null!
//no pointbase TINYINT
// make a new one
//force immediate execution of the insert
// this assumes schema support, which is present in 1.8.0 and later...
// semantic action processing ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Get the persister for the _subclass_
//unsupported
// finally, what it's all about...
// scroll backward
"/*public boolean supportsForUpdateNowait() {		return false;	}*/"
// here we do not bother with the discriminator.
// this class has no proxies (so do a shortcut)
// (NOT (LIKE a b) ) => (NOT_LIKE a b)
// logic operators by definition resolve to booleans
// nothing to do in a stateful session
//do nothing to avoid a lazy property initialization
// putfield
// If the workspace node has null as well, OK; if not we've // been modified in a non-comparable manner, which we have to // treat as us being newer
// TODO: lowercasing done here. Was done "at random" before; maybe not needed at all ?
// the outerJoinsAfterWhere needs to come before where clause to properly // handle dynamic filters
// delegate already handles PK columns
//TODO: never reached, since getTypeName() actually throws an exception!
//process a token, mapping OO path expressions to SQL expressions
// Turn off includeSubclasses on all FromElements.
// This 'dot' expression now refers to the resulting from element.
// we have the form: trim(trimSource) //      so we trim leading and trailing spaces // EARLY EXIT!!!!
// Make sure that all from elements registered with this FROM clause are actually in the AST.
//needed so that we remove this collection from the second-level cache
//workaround, for backward compatibility of sets with no //not-null columns, assume all columns are used in the //row locator SQL
// yuck!
// build an array with indices equal to the total number // of actual returns in the result Hibernate will return // for this query (scalars + non-scalars)
// for an any // we will have to use reflection
//TODO: code duplication with JoinedSubclassEntityPersister
//some statistics
// The syntax used to add a column to a table
// this only works because collection entries are kept in a sequenced // map by persistence context (maybe we should do like entities and // keep a separate sequences set...) //TODO: calling entrySet on an IdentityMap is SLOW!!
// the MRU cache used to keep hard references to the most recently used query plans; // note : LRU here is a bit of a misnomer, it indicates that LRU entries are removed, the // actual kept entries are the MRU entries
// todo : better to handle dynamic filters through implicit DynamicFilterParameterSpecification // see the discussion there in DynamicFilterParameterSpecification's javadocs as to why // it is currently not done that way.
//there _was_ a select clause
// Oracle did add support for ANSI CASE statements in 9i
// This inner class implements a case statement....perhaps im being a bit over-clever here
// Do the key. The key is immutable so we can use the _current_ object state - not necessarily // the state at the time the delete was issued
// special shortcut for id properties, skip the join! // this must only occur at the _end_ of a path expression
// the entry will be removed after the flush, and will no longer // override the stale snapshot // This is now handled by removeEntity() in EntityDeleteAction //persistenceContext.removeDatabaseSnapshot(key);
// If the expression list has exactly one expression, and the type of the expression is a collection // then this might be a collection function, such as index(c) or size(c).
// if template is null we just write the function out as it appears in the hql statement
"//	private ComponentTuplizerFactory componentTuplizerFactory; todo : HHH-3517 and HHH-1907"
// This uses a PathExpressionParser but notice that compound paths are not valid, // only bare names and simple paths:
//expressionOpeners.add(","); // deliberately excluded
// dotcount>=2
// Try to find out the name of the primary key to create it as identity if the IdentityGenerator is used
// Default implementation: // If this node has a data type, and that data type is not an association, then this is scalar.
// the Interceptor handled the dirty checking
//crossJoins.add(name);
// If we are in the process of releasing, no sense // checking for aggressive-release possibility.
// to support dialects that have their own identity data type
// TODO: I considered validating TS cache config here, // but decided to defer unti getTimestampsCacheInstance() in case the  // cache is never actually used
"//		registerColumnType( Types.VARCHAR, 16777215, ""mediumtext"" ); //		registerColumnType( Types.VARCHAR, 65535, ""text"" );"
// do the put outside the scope of the JTA txn
// key is an entity involved with the operation performed by the listener; // value can be either a copy of the entity or the entity itself
//TODO!!!!!!!
// cascade first, so that all unsaved objects get their  // copy created before we actually copy
// if no array holder we found an unwrappered array (this can't occur, // because we now always call wrap() before getting to here) // return (ah==null) ? true : searchForDirtyCollections(ah, type);
// new
// not necessarily a *unique* property reference
/*(array==null) ? tempList.get(i) :*/
// this property belongs on the table and is to be inserted
// at this point we have (drivingSqlAlias) the SQL alias of the driving table // corresponding to the given user alias.  However, the driving table is not // (necessarily) the table against which we want to apply locks.  Mainly, // the exception case here is joined-subclass hierarchies where we instead // want to apply the lock against the root table (for all other strategies, // it just happens that driving and root are the same).
// replicate does cascade to uninitialized collections
// Oracle8 and previous define only a "DATE" type which //      is used to represent all aspects of date/time
// Run a subquery loader
// Register the FromElement with the FROM clause, now that we have the names and aliases.
//TODO: switch statements are always evil! We already had bugs because  //      of forgotten token types. Use polymorphism for this!
// force initialize!
// TODO : this really needs to be delayed unitl after we definitively know all node types // where this is currently a problem is parameters for which where we cannot unequivocally // resolve an expected type
// compare to cached state (ignoring collections unless versioned)
//select SQL
// invokeinterface // invoke Enabled.getInterceptFieldCallback()
// replicate() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Verify the state of this new method in Hibernate 3.0 Dialect.java
// ( (Column) discrim.getColumnIterator().next() ).setType(type);
// register in exception table
// For the case of dynamic-insert="true", we need to generate the INSERT SQL
// we have the form: trim(trimSource) //      so we trim leading and trailing spaces
// Informational metadata ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// HSQLDB only supports READ_UNCOMMITTED transaction isolation
// TODO: toLowerCase was not done before. Only used in Template.
// hit the database, after checking the session cache for a snapshot
